Websuche-Interesse: facebook
Weltweit; Jan. 2004 - Jan. 2005

Interesse im Laufe der Zeit
Woche,facebook
2004-01-04 - 2004-01-10,0
2004-01-11 - 2004-01-17,0
2004-01-18 - 2004-01-24,0
2004-01-25 - 2004-01-31,0
2004-02-01 - 2004-02-07,0
2004-02-08 - 2004-02-14,0
2004-02-15 - 2004-02-21,0
2004-02-22 - 2004-02-28,0
2004-02-29 - 2004-03-06,0
2004-03-07 - 2004-03-13,0
2004-03-14 - 2004-03-20,0
2004-03-21 - 2004-03-27,0
2004-03-28 - 2004-04-03,2
2004-04-04 - 2004-04-10,5
2004-04-11 - 2004-04-17,4
2004-04-18 - 2004-04-24,6
2004-04-25 - 2004-05-01,9
2004-05-02 - 2004-05-08,9
2004-05-09 - 2004-05-15,5
2004-05-16 - 2004-05-22,5
2004-05-23 - 2004-05-29,6
2004-05-30 - 2004-06-05,5
2004-06-06 - 2004-06-12,5
2004-06-13 - 2004-06-19,4
2004-06-20 - 2004-06-26,6
2004-06-27 - 2004-07-03,5
2004-07-04 - 2004-07-10,6
2004-07-11 - 2004-07-17,6
2004-07-18 - 2004-07-24,9
2004-07-25 - 2004-07-31,10
2004-08-01 - 2004-08-07,10
2004-08-08 - 2004-08-14,6
2004-08-15 - 2004-08-21,8
2004-08-22 - 2004-08-28,10
2004-08-29 - 2004-09-04,12
2004-09-05 - 2004-09-11,20
2004-09-12 - 2004-09-18,19
2004-09-19 - 2004-09-25,19
2004-09-26 - 2004-10-02,22
2004-10-03 - 2004-10-09,31
2004-10-10 - 2004-10-16,38
2004-10-17 - 2004-10-23,37
2004-10-24 - 2004-10-30,43
2004-10-31 - 2004-11-06,39
2004-11-07 - 2004-11-13,51
2004-11-14 - 2004-11-20,69
2004-11-21 - 2004-11-27,65
2004-11-28 - 2004-12-04,100
2004-12-05 - 2004-12-11,72
2004-12-12 - 2004-12-18,80
2004-12-19 - 2004-12-25,75
2004-12-26 - 2005-01-01,68
2005-01-02 - 2005-01-08,58
2005-01-09 - 2005-01-15,65
2005-01-16 - 2005-01-22,78
2005-01-23 - 2005-01-29,86
2005-01-30 - 2005-02-05,95


Top-Regionen für: facebook
Region,facebook
Vereinigte Staaten,100


Top-Städte für: facebook
Stadt,facebook
Cambridge (Vereinigte Staaten),100
Philadelphia (Vereinigte Staaten),41
Boston (Vereinigte Staaten),36
Austin (Vereinigte Staaten),34
Washington (Vereinigte Staaten),30
New York City (Vereinigte Staaten),30
Los Angeles (Vereinigte Staaten),26
San Francisco (Vereinigte Staaten),23
Chicago (Vereinigte Staaten),22
Atlanta (Vereinigte Staaten),17



Häufigste Suchanfragen für facebook
the facebook,100
facebook college,25
face book,15



Zunehmende Suchanfragen für facebook
face book,Ausreißer
facebook college,Ausreißer
the facebook,Ausreißer



