Websuche-Interesse: facebook
Weltweit; Jan. 2009 - Jan. 2010

Interesse im Laufe der Zeit
Woche,facebook
2009-01-04 - 2009-01-10,42
2009-01-11 - 2009-01-17,43
2009-01-18 - 2009-01-24,45
2009-01-25 - 2009-01-31,47
2009-02-01 - 2009-02-07,48
2009-02-08 - 2009-02-14,49
2009-02-15 - 2009-02-21,50
2009-02-22 - 2009-02-28,50
2009-03-01 - 2009-03-07,51
2009-03-08 - 2009-03-14,50
2009-03-15 - 2009-03-21,52
2009-03-22 - 2009-03-28,51
2009-03-29 - 2009-04-04,55
2009-04-05 - 2009-04-11,57
2009-04-12 - 2009-04-18,57
2009-04-19 - 2009-04-25,55
2009-04-26 - 2009-05-02,58
2009-05-03 - 2009-05-09,56
2009-05-10 - 2009-05-16,57
2009-05-17 - 2009-05-23,59
2009-05-24 - 2009-05-30,60
2009-05-31 - 2009-06-06,60
2009-06-07 - 2009-06-13,63
2009-06-14 - 2009-06-20,63
2009-06-21 - 2009-06-27,63
2009-06-28 - 2009-07-04,65
2009-07-05 - 2009-07-11,66
2009-07-12 - 2009-07-18,68
2009-07-19 - 2009-07-25,68
2009-07-26 - 2009-08-01,69
2009-08-02 - 2009-08-08,73
2009-08-09 - 2009-08-15,72
2009-08-16 - 2009-08-22,73
2009-08-23 - 2009-08-29,79
2009-08-30 - 2009-09-05,78
2009-09-06 - 2009-09-12,80
2009-09-13 - 2009-09-19,82
2009-09-20 - 2009-09-26,80
2009-09-27 - 2009-10-03,78
2009-10-04 - 2009-10-10,81
2009-10-11 - 2009-10-17,82
2009-10-18 - 2009-10-24,83
2009-10-25 - 2009-10-31,82
2009-11-01 - 2009-11-07,84
2009-11-08 - 2009-11-14,85
2009-11-15 - 2009-11-21,85
2009-11-22 - 2009-11-28,90
2009-11-29 - 2009-12-05,83
2009-12-06 - 2009-12-12,87
2009-12-13 - 2009-12-19,88
2009-12-20 - 2009-12-26,98
2009-12-27 - 2010-01-02,100
2010-01-03 - 2010-01-09,94
2010-01-10 - 2010-01-16,93
2010-01-17 - 2010-01-23,96
2010-01-24 - 2010-01-30,97
2010-01-31 - 2010-02-06,99


Top-Regionen für: facebook
Region,facebook
Türkei,100
Italien,80
Tunesien,73
Kroatien,71
Venezuela,64
Albanien,63
Bosnien und Herzegowina,55
Kolumbien,54
Montenegro,50
Frankreich,49
Serbien,41
Vereinigtes Königreich,41
San Marino,39
Chile,38
Indonesien,38
Griechenland,36
Gibraltar,35
Slowenien,34
Neukaledonien,33
Belgien,33
Trinidad und Tobago,30
Réunion,28
Südafrika,27
Irland,26
Guadeloupe,25
Martinique,25
Argentinien,25
Malaysia,25
Mazedonien,24
Spanien,24
Monaco,24
Andorra,24
Namibia,23
Malta,23
Kanada,23
Zypern,22
Sri Lanka,22
Australien,22
Puerto Rico,22
Simbabwe,21
Finnland,21
Brunei Darussalam,21
Dänemark,20
Mauritius,19
Malediven,19
Panama,19
Kenia,19
Bahamas,19
Madagaskar,18
Französisch-Polynesien,18
Französisch-Guayana,18
Antigua und Barbuda,18
Barbados,17
Botsuana,17
Bolivien,17
Sambia,15
Malawi,15
Swasiland,15
Schweiz,15
Bermuda,15
Vereinigte Staaten,14
Neuseeland,14
Jamaika,14
Anguilla,14
Britische Jungferninseln,14
Bangladesch,13
St. Vincent und die Grenadinen,13
Seychellen,13
Aruba,13
Papua-Neuguinea,13
Uruguay,13
St. Lucia,13
Kaimaninseln,13
Fidschi,13
Marokko,12
Uganda,12
Philippinen,12
Grenada,12
Grönland,12
Singapur,12
Dschibuti,12
Amerikanische Jungferninseln,12
Gambia,11
Äthiopien,11
Guyana,11
Jordanien,10
Ghana,10
Nigeria,10
Schweden,10
Ägypten,10
Belize,10
St. Kitts und Nevis,10
Sudan,10
Mexiko,10
Israel,10
Libanon,10
Österreich,9
Luxemburg,9
El Salvador,9
Pakistan,9
Färöer,9
Gabun,9
Algerien,9
Vereinigte Arabische Emirate,9
Slowakei,8
Portugal,8
Katar,8
Dominica,8
Bulgarien,8
Guam,8
Taiwan,8
Afghanistan,8
Norwegen,8
Nördliche Marianen,8
Peru,8
Suriname,8
Liechtenstein,8
Mauretanien,8
Senegal,8
Hongkong,7
Myanmar,7
Costa Rica,7
Dominikanische Republik,7
Macao,7
Bahrain,7
Tansania,7
Honduras,7
Deutschland,6
Nepal,6
Laos,6
Nicaragua,6
Palästina,5
Haiti,5
Guatemala,5
Ruanda,5
Irak,5
Island,5
Mali,5
Kambodscha,5
Indien,5
Ecuador,5
Togo,4
Côte d’Ivoire,4
Kuba,4
Kamerun,4
Kuwait,4
Tschechische Republik,4
Mosambik,4
Aserbaidschan,4
Paraguay,4
Saudi-Arabien,4
Libyen,4
Vietnam,3
Oman,3
Japan,3
Syrien,2
Niederlande,2
Jemen,2
Thailand,2
Angola,2
Iran,2
Litauen,2
Georgien,2
Rumänien,2
Polen,1
Ungarn,1
Armenien,1
Kasachstan,1
Republik Korea,1
Estland,1
Mongolei,1
Republik Moldau,1
Brasilien,1
Russische Föderation,1


Top-Städte für: facebook
Stadt,facebook
Izmir (Türkei),100
Ankara (Türkei),95
Istanbul (Türkei),95
Rom (Italien),84
Zagreb (Kroatien),74
Caracas (Venezuela),72
Mailand (Italien),70
Bogotá (Kolumbien),67
Marseille (Frankreich),56
Paris (Frankreich),51
Courbevoie (Frankreich),50
Manchester (Vereinigtes Königreich),47
Brentford (Vereinigtes Königreich),45
Santiago de Chile (Chile),44
Birmingham (Vereinigtes Königreich),41



Häufigste Suchanfragen für facebook
facebook login,100
youtube,25
hotmail,25
yahoo,15
msn,10
myspace,10
facebook en español,10
gmail,5
google,5
netlog,5
ebay,5
face,5
you tube,5
yahoo mail,5
free,5
hotmail.com,5
facebook.com,5
mynet,5
hi5,5
bbc,5
tuenti,5
bebo,5
badoo,5
libero,5
facebook italia,0
twitter,0
skyblog,0
skyrock,0
orange,0
e okul,0
facebook home,0
fa,0
deezer,0
facebook search,0
face book,0
fanatik,0
facebook türkçe,0
milliyet,0
msn hotmail,0
izlesene,0
youtube.com,0
facebok,0
aol,0
hürriyet,0
ebuddy,0
facebook mobile,0
libero mail,0
le bon coin,0
dailymotion,0
amazon,0



Zunehmende Suchanfragen für facebook
e okul,+1.150 %
twitter,+800 %
facebook en español,+750 %
facebook italia,+550 %
tuenti,+200 %
facebook login,+190 %
facebook.com,+150 %
libero,+150 %
fa,+120 %
facebook search,+90 %



